Hybrid: 3 Parents: 2 and 4	 0.691612 0.4890176092265384
Hybrid: 4 Parents: 2 and 3	 0.691612 0.4890176092265384
Hybrid: 3 Parents: 2 and 5	 1.319909 0.1870557007894278
Hybrid: 3 Parents: 2 and 6	 1.319909 0.1870557007894278
Hybrid: 3 Parents: 2 and 7	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 8	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 9	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 10	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 11	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 12	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 13	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 14	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 15	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 16	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 17	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 18	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 19	 1.320107 0.1869892271420657
Hybrid: 3 Parents: 2 and 20	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 21	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 22	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 23	 1.834041 0.0661828095527792
Hybrid: 3 Parents: 2 and 24	 2.040719 0.0409460560373178
Hybrid: 3 Parents: 2 and 25	 1.597075 0.1099389608501891
Hybrid: 3 Parents: 2 and 26	 1.834956 0.0660472553740905
Hybrid: 3 Parents: 2 and 27	 1.833085 0.0663246918093914
Hybrid: 3 Parents: 2 and 28	 1.834041 0.0661828095527792
Hybrid: 3 Parents: 2 and 29	 1.596566 0.1100530278198475
Hybrid: 3 Parents: 2 and 30	 1.833085 0.0663246918093914
Hybrid: 3 Parents: 2 and 31	 1.596034 0.1101724393789831
Hybrid: 3 Parents: 2 and 32	 1.403422 0.1605203833506215
Hybrid: 3 Parents: 2 and 33	 1.595478 0.1102975778305704
Hybrid: 3 Parents: 2 and 34	 1.596566 0.1100530278198475
Hybrid: 3 Parents: 2 and 35	 1.597075 0.1099389608501888
Hybrid: 3 Parents: 2 and 36	 1.403622 0.1604602580960020
Hybrid: 3 Parents: 2 and 37	 1.596034 0.1101724393789831
Hybrid: 3 Parents: 2 and 38	 1.130275 0.2588055677673908
Hybrid: 3 Parents: 2 and 39	 1.596034 0.1101724393789831
Hybrid: 3 Parents: 2 and 40	 1.130275 0.2588055677673906
Hybrid: 3 Parents: 2 and 41	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 42	 1.320477 0.1868650850704576
Hybrid: 3 Parents: 2 and 43	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 44	 1.597075 0.1099389608501888
Hybrid: 3 Parents: 2 and 45	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 46	 1.320296 0.1869257541664489
Hybrid: 3 Parents: 2 and 47	 1.320477 0.1868650850704578
Hybrid: 3 Parents: 2 and 48	 1.320477 0.1868650850704578
